PlateName	Plate	Well	Content	siRNAID	GeneID	LocusID	Accession
P1	1	A01	NA	NA	NA	NA	NA
P1	1	A02	NA	NA	NA	NA	NA
P1	1	A03	control	NA	UBC	NA	NA
P1	1	A04	control	NA	PLK1	NA	NA
P1	1	A05	sample	M-005300-00	AAK1	22848	NM_014911
P1	1	A06	sample	M-003104-02	AXL	558	NM_001699
P1	1	A07	NA	NA	NA	NA	NA
P1	1	A08	NA	NA	NA	NA	NA
P1	1	A09	NA	NA	NA	NA	NA
P1	1	A10	NA	NA	NA	NA	NA
P1	1	A11	NA	NA	NA	NA	NA
P1	1	A12	NA	NA	NA	NA	NA
P1	1	A13	NA	NA	NA	NA	NA
P1	1	A14	NA	NA	NA	NA	NA
P1	1	A15	NA	NA	NA	NA	NA
P1	1	A16	NA	NA	NA	NA	NA
P1	1	A17	NA	NA	NA	NA	NA
P1	1	A18	NA	NA	NA	NA	NA
P1	1	A19	NA	NA	NA	NA	NA
P1	1	A20	NA	NA	NA	NA	NA
P1	1	A21	NA	NA	NA	NA	NA
P1	1	A22	NA	NA	NA	NA	NA
P1	1	A23	NA	NA	NA	NA	NA
P1	1	A24	NA	NA	NA	NA	NA
P1	1	B01	NA	NA	NA	NA	NA
P1	1	B02	NA	NA	NA	NA	NA
P1	1	B03	control	NA	UBC	NA	NA
P1	1	B04	control	NA	PLK1	NA	NA
P1	1	B05	sample	M-003257-02	PLK3	1263	NM_004073
P1	1	B06	sample	M-003126-01	ERBB2	2064	NM_004448
P1	1	B07	NA	NA	NA	NA	NA
P1	1	B08	NA	NA	NA	NA	NA
P1	1	B09	NA	NA	NA	NA	NA
P1	1	B10	NA	NA	NA	NA	NA
P1	1	B11	NA	NA	NA	NA	NA
P1	1	B12	NA	NA	NA	NA	NA
P1	1	B13	NA	NA	NA	NA	NA
P1	1	B14	NA	NA	NA	NA	NA
P1	1	B15	NA	NA	NA	NA	NA
P1	1	B16	NA	NA	NA	NA	NA
P1	1	B17	NA	NA	NA	NA	NA
P1	1	B18	NA	NA	NA	NA	NA
P1	1	B19	NA	NA	NA	NA	NA
P1	1	B20	NA	NA	NA	NA	NA
P1	1	B21	NA	NA	NA	NA	NA
P1	1	B22	NA	NA	NA	NA	NA
P1	1	B23	NA	NA	NA	NA	NA
P1	1	B24	NA	NA	NA	NA	NA
P1	1	C01	NA	NA	NA	NA	NA
P1	1	C02	NA	NA	NA	NA	NA
P1	1	C03	control	NA	RLUC	NA	NA
P1	1	C04	control	NA	KIF23	NA	NA
P1	1	C05	sample	M-013591-01	CINP	51550	NM_032630
P1	1	C06	sample	M-005309-02	BMPR2	659	NM_001204
P1	1	C07	NA	NA	NA	NA	NA
P1	1	C08	NA	NA	NA	NA	NA
P1	1	C09	NA	NA	NA	NA	NA
P1	1	C10	NA	NA	NA	NA	NA
P1	1	C11	NA	NA	NA	NA	NA
P1	1	C12	NA	NA	NA	NA	NA
P1	1	C13	NA	NA	NA	NA	NA
P1	1	C14	NA	NA	NA	NA	NA
P1	1	C15	NA	NA	NA	NA	NA
P1	1	C16	NA	NA	NA	NA	NA
P1	1	C17	NA	NA	NA	NA	NA
P1	1	C18	NA	NA	NA	NA	NA
P1	1	C19	NA	NA	NA	NA	NA
P1	1	C20	NA	NA	NA	NA	NA
P1	1	C21	NA	NA	NA	NA	NA
P1	1	C22	NA	NA	NA	NA	NA
P1	1	C23	NA	NA	NA	NA	NA
P1	1	C24	NA	NA	NA	NA	NA
P1	1	D01	NA	NA	NA	NA	NA
P1	1	D02	NA	NA	NA	NA	NA
P1	1	D03	control	NA	RLUC	NA	NA
P1	1	D04	control	NA	KIF23	NA	NA
P1	1	D05	sample	M-003479-01	CSNK1E	1454	NM_001894
P1	1	D06	sample	M-003132-01	FGFR2	2263	NM_000141
P1	1	D07	NA	NA	NA	NA	NA
P1	1	D08	NA	NA	NA	NA	NA
P1	1	D09	NA	NA	NA	NA	NA
P1	1	D10	NA	NA	NA	NA	NA
P1	1	D11	NA	NA	NA	NA	NA
P1	1	D12	NA	NA	NA	NA	NA
P1	1	D13	NA	NA	NA	NA	NA
P1	1	D14	NA	NA	NA	NA	NA
P1	1	D15	NA	NA	NA	NA	NA
P1	1	D16	NA	NA	NA	NA	NA
P1	1	D17	NA	NA	NA	NA	NA
P1	1	D18	NA	NA	NA	NA	NA
P1	1	D19	NA	NA	NA	NA	NA
P1	1	D20	NA	NA	NA	NA	NA
P1	1	D21	NA	NA	NA	NA	NA
P1	1	D22	NA	NA	NA	NA	NA
P1	1	D23	NA	NA	NA	NA	NA
P1	1	D24	NA	NA	NA	NA	NA
P1	1	E01	NA	NA	NA	NA	NA
P1	1	E02	NA	NA	NA	NA	NA
P1	1	E03	NA	NA	NA	NA	NA
P1	1	E04	NA	NA	NA	NA	NA
P1	1	E05	NA	NA	NA	NA	NA
P1	1	E06	NA	NA	NA	NA	NA
P1	1	E07	NA	NA	NA	NA	NA
P1	1	E08	NA	NA	NA	NA	NA
P1	1	E09	NA	NA	NA	NA	NA
P1	1	E10	NA	NA	NA	NA	NA
P1	1	E11	NA	NA	NA	NA	NA
P1	1	E12	NA	NA	NA	NA	NA
P1	1	E13	NA	NA	NA	NA	NA
P1	1	E14	NA	NA	NA	NA	NA
P1	1	E15	NA	NA	NA	NA	NA
P1	1	E16	NA	NA	NA	NA	NA
P1	1	E17	NA	NA	NA	NA	NA
P1	1	E18	NA	NA	NA	NA	NA
P1	1	E19	NA	NA	NA	NA	NA
P1	1	E20	NA	NA	NA	NA	NA
P1	1	E21	NA	NA	NA	NA	NA
P1	1	E22	NA	NA	NA	NA	NA
P1	1	E23	NA	NA	NA	NA	NA
P1	1	E24	NA	NA	NA	NA	NA
P1	1	F01	NA	NA	NA	NA	NA
P1	1	F02	NA	NA	NA	NA	NA
P1	1	F03	NA	NA	NA	NA	NA
P1	1	F04	NA	NA	NA	NA	NA
P1	1	F05	NA	NA	NA	NA	NA
P1	1	F06	NA	NA	NA	NA	NA
P1	1	F07	NA	NA	NA	NA	NA
P1	1	F08	NA	NA	NA	NA	NA
P1	1	F09	NA	NA	NA	NA	NA
P1	1	F10	NA	NA	NA	NA	NA
P1	1	F11	NA	NA	NA	NA	NA
P1	1	F12	NA	NA	NA	NA	NA
P1	1	F13	NA	NA	NA	NA	NA
P1	1	F14	NA	NA	NA	NA	NA
P1	1	F15	NA	NA	NA	NA	NA
P1	1	F16	NA	NA	NA	NA	NA
P1	1	F17	NA	NA	NA	NA	NA
P1	1	F18	NA	NA	NA	NA	NA
P1	1	F19	NA	NA	NA	NA	NA
P1	1	F20	NA	NA	NA	NA	NA
P1	1	F21	NA	NA	NA	NA	NA
P1	1	F22	NA	NA	NA	NA	NA
P1	1	F23	NA	NA	NA	NA	NA
P1	1	F24	NA	NA	NA	NA	NA
P1	1	G01	NA	NA	NA	NA	NA
P1	1	G02	NA	NA	NA	NA	NA
P1	1	G03	NA	NA	NA	NA	NA
P1	1	G04	NA	NA	NA	NA	NA
P1	1	G05	NA	NA	NA	NA	NA
P1	1	G06	NA	NA	NA	NA	NA
P1	1	G07	NA	NA	NA	NA	NA
P1	1	G08	NA	NA	NA	NA	NA
