uname	spot	id	label
001-01-A05	1	69	M
001-01-A05	1	84	M
001-01-B05	1	56	M
001-02-A05	1	60	M
001-02-A05	1	94	M
001-02-B05	1	11	M
001-02-B05	1	76	M
001-02-C03	1	25	M
001-02-C03	1	83	M
001-02-D03	1	131	M
001-01-A05	1	14	I
001-01-A05	1	49	I
001-01-A05	1	51	I
001-01-A05	1	76	I
001-01-A05	1	79	I
001-01-B05	1	17	I
001-01-B05	1	31	I
001-01-B05	1	38	I
001-01-B05	1	51	I
001-01-B05	1	58	I
001-01-B05	1	67	I
001-01-C03	1	21	I
001-01-C03	1	37	I
001-01-C03	1	69	I
001-01-D03	1	15	I
001-01-D03	1	37	I
001-01-D03	1	45	I
001-02-A05	1	35	I
001-02-A05	1	79	I
001-02-B05	1	5	I
001-02-B05	1	18	I
001-02-B05	1	19	I
001-02-B05	1	50	I
001-02-B05	1	63	I
001-02-B05	1	68	I
001-02-C03	1	6	I
001-02-C03	1	17	I
001-02-C03	1	38	I
001-02-C03	1	40	I
001-02-D03	1	110	I
001-02-D03	1	113	I
001-02-D03	1	121	I
001-01-A03	1	2	D
001-01-A03	1	6	D
001-01-A03	1	9	D
001-01-A03	1	16	D
001-01-B03	1	15	D
001-01-B03	1	16	D
001-01-B03	1	17	D
001-01-B03	1	19	D
001-01-B03	1	20	D
001-01-B05	1	36	D
001-01-B05	1	71	D
001-02-A03	1	12	D
001-02-A03	1	13	D
001-02-A03	1	14	D
001-02-A03	1	16	D
001-02-A03	1	17	D
001-02-A03	1	18	D
001-02-A03	1	20	D
001-02-A03	1	21	D
001-02-A03	1	23	D
001-02-B03	1	26	D
001-02-B03	1	31	D
001-02-B03	1	39	D
001-02-B03	1	42	D
